"Jahr";"Monat";"Anzahl Arbeitslose - gesamt";"Anzahl Arbeitslose - Frauen";"Anzahl Arbeitslose - 15- bis unter 25 Jahre";"Anzahl Arbeitslose - 55- bis unter 65 Jahre";"Anzahl Arbeitslose- Langzeitarbeitslose";"Anzahl Arbeitslose - Schwerbehinderte";"Anzahl Arbeitslose - Ausländer";"Arbeitslosenanteil - Frauen";"Arbeitslosenanteil - Langzeitarbeitslose";"Arbeitslosenanteil - Ausländer";"ALO-Quote: alle ziv. EP - gesamt";"ALO-Quote: alle ziv. EP - Männer";"ALO-Quote: alle ziv. EP - Frauen";"ALO-Quote: alle ziv. EP - 15- bis unter 25-Jahre";"ALO-Quote: alle ziv. EP - 55- bis unter 65-Jahre";"ALO-Quote: alle ziv. EP - Ausländer";"ALO-Quote: alle abh. ziv. EP - gesamt";"UB: Personen im weiteren Sinne arbeitslos";"UB: Arbeitslosigkeit im weiteren Sinne";"UB: Personen nahe am Arbeitslosenstatus";"UB: Unterbeschäftigung im engeren Sinne";"UB: Personen weit weg vom Arbeitslosenstatus";"UB: Unterbeschäftigung im weiteren Sinne";"Unterbeschäftigungsquote";"Bestand offene Arbeitsstellen"
"2015";"06";21737;9560;1389;4285;8044;1237;2278;44;37;11;8;8;7;5;10;18;9;1958;23695;3554;27249;879;28128;10;3301
"2015";"07";22300;9830;1661;4270;8131;1224;2273;44;37;10;8;8;7;6;9;18;9;1892;24192;3183;27375;844;28219;10;3402
"2015";"08";22472;10013;1740;4233;8099;1229;2318;45;36;10;8;8;7;7;9;19;9;1864;24336;3003;27339;822;28161;10;3359
"2015";"09";21620;9630;1547;4150;8053;1239;2334;45;37;11;8;8;7;6;9;19;8;1816;23436;3055;26491;772;27263;9;3320
"2015";"10";21435;9480;1341;4134;8110;1222;2359;44;38;11;8;8;7;5;9;19;8;1826;23261;3041;26302;735;27037;9;3575
"2015";"11";21161;9350;1290;4146;8063;1173;2376;44;38;11;7;8;7;5;9;19;8;1843;23004;3078;26082;697;26779;9;3402
"2015";"12";21115;9142;1225;4172;8097;1161;2388;43;38;11;7;8;7;5;9;19;8;1870;22985;3168;26153;653;26806;9;3172
"2016";"01 ";22416;9607;1312;4408;8398;1200;2558;43;38;11;8;9;7;5;10;21;9;1830;24246;3107;27353;276;27629;10;3190
"2016";"02 ";22333;9503;1452;4368;8306;1179;2785;43;37;13;8;9;7;6;10;23;9;1814;24147;3355;27502;285;27787;10;3450
"2016";"03 ";22643;9378;1802;4246;8228;1180;3611;41;36;16;8;9;7;7;9;29;9;1786;24429;3428;27857;288;28145;10;3495
"2016";"04";22137;9202;1810;4156;8185;1118;3734;42;37;17;8;9;7;7;9;30;9;1820;23957;3738;27695;305;28000;10;3444
"2016";"05";21341;8931;1730;4054;7993;1100;3507;42;38;16;7;8;7;7;9;25;8;1871;23212;4072;27284;298;27582;10;3477
"2016";"06";20814;8868;1654;3992;7940;1113;3303;43;38;16;7;8;7;7;9;24;8;1871;22685;4246;26931;305;27236;9;3364
"2016";"07";21331;9110;1888;3989;7882;1107;3314;43;37;16;7;8;7;8;9;24;8;1799;23130;4105;27235;297;27532;9;3166
"2016";"08";20751;8842;1817;3985;7703;1102;3321;43;37;16;7;8;7;8;9;24;8;1922;22673;3982;26655;315;26970;9;3111
"2016";"09";20016;8599;1598;3957;7615;1108;2993;43;38;15;7;8;6;7;9;21;8;1924;21940;4258;26198;309;26507;9;3158
"2016";"10";19655;8513;1414;3913;7471;1121;2965;43;38;15;7;7;6;6;9;21;8;1934;21589;4589;26178;297;26475;9;3154
"2016";"11";19193;8240;1338;3868;7313;1095;2903;43;38;15;7;7;6;6;8;21;7;1906;21099;4751;25850;312;26162;9;2930
"2016";"12";19275;8218;1287;3939;7250;1088;2894;43;38;15;7;7;6;5;9;21;7;1944;21219;4715;25934;292;26226;9;2928
"2017";"01 ";20871;8795;1449;4242;7333;1120;3274;42;35;16;7;8;6;6;9;0;8;1870;22741;4464;27205;293;27498;9;2887
"2017";"02 ";20880;8724;1508;4228;7235;1106;3225;42;35;15;7;8;6;6;9;0;8;1883;22763;4755;27518;283;27801;10;3083
"2017";"03 ";20271;8508;1510;4099;7163;1082;3219;42;35;16;7;8;6;6;9;0;8;1910;22181;4956;27137;290;27427;9;3077
"2017";"04";19507;8293;1411;3962;7050;1069;3034;43;36;16;7;8;6;6;9;0;8;1935;21442;5336;26778;300;27078;9;3026
"2017";"05";18789;8080;1383;3880;6923;1053;3032;43;37;16;7;7;6;6;8;0;7;1975;20764;5416;26180;298;26478;9;3160
"2017";"06";18704;8045;1416;3881;6893;1039;3112;43;37;17;7;7;6;6;8;0;7;1887;20591;5319;25910;310;26220;9;3215
"2017";"07";19444;8406;1807;3903;6859;1111;3241;43;35;17;7;7;6;8;8;0;7;1850;21294;5101;26395;302;26697;9;3427
"2017";"08";18695;8026;1708;3790;6732;1080;3152;43;36;17;7;7;6;7;8;0;7;1870;20565;5139;25704;299;26003;9;3531
"2017";"09";18292;7810;1685;3751;6600;1050;3187;43;36;17;6;7;6;7;8;0;7;1885;20177;5301;25478;290;25768;9;3597
"2017";"10";18029;7618;1509;3668;6469;1037;3308;42;36;18;6;7;6;7;8;0;7;1883;19912;5172;25084;274;25358;9;3718
"2017";"11";17684;7479;1447;3675;6380;1032;3130;42;36;18;6;7;6;6;8;0;7;1842;19526;5390;24916;259;25175;9;3610
"2017";"12";17720;7400;1437;3751;6214;1038;3114;42;35;18;6;7;5;6;8;0;7;1833;19553;5349;24902;248;25150;9;3956
"2018";"01 ";19115;7877;1519;4072;6324;1103;3439;41;33;18;7;7;6;7;9;0;7;1757;20872;5084;25956;238;26194;9;3910
"2018";"02 ";18838;7739;1566;4022;6297;1083;3438;41;33;18;7;7;6;7;9;0;7;1734;20572;5231;25803;250;26053;9;4214
"2018";"03 ";18548;7520;1542;3982;6207;1048;3442;41;34;19;6;7;6;7;9;0;7;1674;20222;5203;25425;242;25667;9;4385
"2018";"04";18211;7461;1470;1470;6151;1019;3474;41;34;19;6;7;6;6;8;0;7;1663;19874;5086;24960;250;25210;9;4456
"2018";"05";17662;7223;1430;3779;6038;1055;3353;41;34;19;6;7;5;6;8;0;7;1618;19280;5116;24396;260;24656;8;4417
"2018";"06";17534;10203;1454;3747;6019;1045;3446;42;34;20;6;7;5;6;8;0;7;1530;19064;4869;23933;263;24196;8;4197
"2018";"07";18198;7603;1830;3729;5969;1031;3715;42;33;20;6;7;6;7;8;0;7;1587;19785;4509;24294;254;24548;8;4212
"2018";"08";17816;7435;1761;3703;5896;1027;3735;42;33;21;6;7;5;7;8;0;7;1550;19366;4556;23922;266;24188;8;4196
"2018";"09";17132;7135;1704;3596;5644;1009;3629;42;33;21;6;6;5;7;7;0;6;1564;18696;4739;23435;264;23699;8;4246
"2018";"10";17022;7121;1521;3620;5635;1018;3568;42;33;21;6;6;5;6;7;0;6;1528;18550;4811;23361;268;23629;8;4137
"2018";"11";16516;6849;1431;3632;5526;983;3484;42;34;21;6;6;5;6;7;0;6;1641;18157;4867;23024;277;23301;8;3842
"2018";"12";16515;6767;1406;3604;5470;999;3545;41;33;22;6;6;5;6;7;0;6;1693;18208;4812;23020;255;23275;8;3510
"2019";"01 ";17677;7206;1478;3898;5590;1047;3740;41;32;21;6;7;5;6;8;0;7;1624;19301;4555;23856;257;24113;8;3353
"2019";"02 ";17743;7127;1577;3854;5525;1101;3840;40;31;22;6;7;5;6;8;0;7;1607;19350;4540;23890;264;24154;8;3405
"2019";"03 ";17313;6982;1545;3788;5445;1068;3826;40;32;22;6;7;5;6;8;0;7;1590;18903;4568;23471;257;23728;8;3443
"2019";"04";16894;6889;1511;3678;5372;1063;3738;41;32;22;6;6;5;6;8;0;6;1654;18548;4815;23363;242;23605;8;3641
"2019";"05";16876;6957;1477;3620;5363;1050;3788;41;32;22;6;6;5;6;7;0;6;1667;18543;4761;23304;255;23559;8;3868
"2019";"06";16562;6879;1454;3553;5246;1021;3670;42;32;22;6;6;5;5;7;0;6;1697;18259;4664;22923;254;23177;8;4027
"2019";"07";16955;7177;1662;3533;5207;1085;3729;42;31;22;6;6;5;6;7;0;6;1821;18776;4517;23293;242;23535;8;4088
"2019";"08";17184;7317;1775;3621;5175;1111;3752;43;30;22;6;6;5;7;7;0;6;1816;19000;4306;23306;234;23540;8;4170
"2019";"09";16479;6950;1650;3581;5136;1074;3633;42;31;22;6;6;5;6;7;0;6;1802;18281;4438;22719;220;22939;8;4287
