"Jahr";"Quartal";"Monat";"Hauptgruppen (WZ 08)";"Auftragseingang insgesamt (in 1000 Euro)";"Auftragseingang Ausland (in 1000 Euro)";"Auftragseingang Eurozone (in 1000 Euro)";"Umsatz insgesamt aus Auftragseingang (in 1000 Euro)";"Umsazu Ausland aus Auftragseingang (in 1000 Euro)";"Umsatz Eurozone aus Auftragseingang (in 1000 Euro)"
"2018";"4. Quartal";"11";"GG Gebrauchsgüter";0;0;0;0;0;0
"2018";"4. Quartal";"11";"VG Verbrauchsgüter";0;0;0;0;0;0
"2018";"4. Quartal";"11";"Verarbeitendes Gewerbe gesamt";446123;275563;180343;454399;285680;174029
"2018";"4. Quartal";"12";"A+EN Vorleistungsgüter und Energie";235670;159131;121776;258127;180178;138939
"2018";"4. Quartal";"12";"B Investitionsgüter";195670;129116;49309;174359;85963;28955
"2018";"4. Quartal";"12";"GG Gebrauchsgüter";0;0;0;0;0;0
"2018";"4. Quartal";"12";"VG Verbrauchsgüter";0;0;0;0;0;0
"2018";"4. Quartal";"12";"Verarbeitendes Gewerbe gesamt";461240;309066;190920;463643;288136;188114
"2019";"1. Quartal";"01";"A+EN Vorleistungsgüter und Energie";246451;140434;97668;214722;113512;81389
"2019";"1. Quartal";"01";"B Investitionsgüter";180513;131695;38197;162945;113642;28356
"2019";"1. Quartal";"01";"GG Gebrauchsgüter";0;0;0;0;0;0
"2019";"1. Quartal";"01";"VG Verbrauchsgüter";0;0;0;0;0;0
"2019";"1. Quartal";"01";"Verarbeitendes Gewerbe gesamt";461453;294221;155505;411963;250486;130848
"2019";"1. Quartal";"02";"A+EN Vorleistungsgüter und Energie";210036;136657;100640;204411;128500;93756
"2019";"1. Quartal";"02";"B Investitionsgüter";144437;89160;28731;147959;91594;20327
"2019";"1. Quartal";"02";"GG Gebrauchsgüter";0;0;0;0;0;0
"2019";"1. Quartal";"02";"VG Verbrauchsgüter";0;0;0;0;0;0
"2019";"1. Quartal";"02";"Verarbeitendes Gewerbe gesamt";385930;246746;147838;383013;241224;132362
"2019";"1. Quartal";"03";"A+EN Vorleistungsgüter und Energie";232497;138170;99083;342695;0;0
"2019";"1. Quartal";"03";"B Investitionsgüter";169804;98479;19895;143585;82848;23466
"2019";"1. Quartal";"03";"GG Gebrauchsgüter";0;0;0;0;0;0
"2019";"1. Quartal";"03";"VG Verbrauchsgüter";0;0;0;0;0;0
"2019";"1. Quartal";"03";"Verarbeitendes Gewerbe gesamt";437400;257017;137468;519089;355863;253029
"2019";"2. Quartal";"04";"A+EN Vorleistungsgüter und Energie";217347;134794;96326;256561;180196;150288
"2019";"2. Quartal";"04";"B Investitionsgüter";195887;101021;30719;154522;97565;25541
"2019";"2. Quartal";"04";"GG Gebrauchsgüter";0;0;0;0;0;0
"2019";"2. Quartal";"04";"VG Verbrauchsgüter";0;0;0;0;0;0
"2019";"2. Quartal";"04";"Verarbeitendes Gewerbe gesamt";442520;254740;144561;442341;297528;192738
"2019";"2. Quartal";"05";"A+EN Vorleistungsgüter und Energie";215797;129879;94423;265364;175308;138325
"2019";"2. Quartal";"05";"B Investitionsgüter";155081;99038;19489;190643;122208;31903
"2019";"2. Quartal";"05";"GG Gebrauchsgüter";0;0;0;0;0;0
"2019";"2. Quartal";"05";"VG Verbrauchsgüter";0;0;0;0;0;0
"2019";"2. Quartal";"05";"Verarbeitendes Gewerbe gesamt";403475;248830;131157;489177;318788;189334
"2019";"2. Quartal";"06";"A+EN Vorleistungsgüter und Energie";189589;122928;91950;196733;131123;92348
"2019";"2. Quartal";"06";"B Investitionsgüter";122084;69675;17743;156680;95522;21302
"2019";"2. Quartal";"06";"GG Gebrauchsgüter";0;0;0;0;0;0
"2019";"2. Quartal";"06";"VG Verbrauchsgüter";0;0;0;0;0;0
"2019";"2. Quartal";"06";"Verarbeitendes Gewerbe gesamt";342771;214897;127165;384860;246963;131675
"2019";"3. Quartal";"07";"A+EN Vorleistungsgüter und Energie";220460;138572;101577;192160;110815;76786
"2019";"3. Quartal";"07";"B Investitionsgüter";190445;101268;32808;147959;72875;28081
"2019";"3. Quartal";"07";"GG Gebrauchsgüter";0;0;0;0;0;0
"2019";"3. Quartal";"07";"VG Verbrauchsgüter";0;0;0;0;0;0
"2019";"3. Quartal";"07";"Verarbeitendes Gewerbe gesamt";442091;259604;152127;372929;204941;124279
