"Jahr";"Stadtbezirk mit zugeordneten Ortschaften";"Fahrzeugart";"Kraftstoffart";"Schadstoffgruppe für Kraftfahrzeuge (Umwelt-Plakette) nach Feinstaubverordnung";"Anzahl"
"2008";"StB 3 Klotzsche/nördliche Ortschaften";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";1086
"2008";"StB 3 Klotzsche/nördliche Ortschaften";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";1838
"2008";"StB 3 Klotzsche/nördliche Ortschaften";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";44
"2008";"StB 3 Klotzsche/nördliche Ortschaften";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";61
"2008";"StB 3 Klotzsche/nördliche Ortschaften";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";368
"2008";"StB 3 Klotzsche/nördliche Ortschaften";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";188
"2008";"StB 3 Klotzsche/nördliche Ortschaften";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";426
"2008";"StB 3 Klotzsche/nördliche Ortschaften";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";337
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";244
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";11697
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";126
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";289
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";1129
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";1682
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";39
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";65
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";416
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";155
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";312
"2008";"StB 4 Loschwitz/OS Schönfeld-Weißig";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";222
"2008";"StB 5 Blasewitz";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";385
"2008";"StB 5 Blasewitz";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";25686
"2008";"StB 5 Blasewitz";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";182
"2008";"StB 5 Blasewitz";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";411
"2008";"StB 5 Blasewitz";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";1765
"2008";"StB 5 Blasewitz";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";3067
"2008";"StB 5 Blasewitz";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";40
"2008";"StB 5 Blasewitz";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";167
"2008";"StB 5 Blasewitz";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";286
"2008";"StB 5 Blasewitz";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";199
"2008";"StB 5 Blasewitz";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";371
"2008";"StB 5 Blasewitz";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";336
"2008";"StB 6 Leuben";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";182
"2008";"StB 6 Leuben";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";13309
"2008";"StB 6 Leuben";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";67
"2008";"StB 6 Leuben";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";209
"2008";"StB 6 Leuben";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";924
"2008";"StB 6 Leuben";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";1211
"2008";"StB 6 Leuben";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";28
"2008";"StB 6 Leuben";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";68
"2008";"StB 6 Leuben";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";249
"2008";"StB 6 Leuben";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";122
"2008";"StB 6 Leuben";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";313
"2008";"StB 6 Leuben";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";208
"2008";"StB 7 Prohlis";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";231
"2008";"StB 7 Prohlis";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";17956
"2008";"StB 7 Prohlis";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";97
"2008";"StB 7 Prohlis";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";329
"2008";"StB 7 Prohlis";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";1199
"2008";"StB 7 Prohlis";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";2047
"2008";"StB 7 Prohlis";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";43
"2008";"StB 7 Prohlis";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";97
"2008";"StB 7 Prohlis";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";397
"2008";"StB 7 Prohlis";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";206
"2008";"StB 7 Prohlis";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";471
"2008";"StB 7 Prohlis";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";405
"2008";"StB 8 Plauen";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";270
"2008";"StB 8 Plauen";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";15101
"2008";"StB 8 Plauen";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";97
"2008";"StB 8 Plauen";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";260
"2008";"StB 8 Plauen";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";1197
"2008";"StB 8 Plauen";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";2481
"2008";"StB 8 Plauen";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";39
"2008";"StB 8 Plauen";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";134
"2008";"StB 8 Plauen";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";302
"2008";"StB 8 Plauen";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";221
"2008";"StB 8 Plauen";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";541
"2008";"StB 8 Plauen";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";565
"2008";"StB 9 Cotta/westliche Ortschaften";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";385
"2008";"StB 9 Cotta/westliche Ortschaften";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";24847
"2008";"StB 9 Cotta/westliche Ortschaften";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";165
"2008";"StB 9 Cotta/westliche Ortschaften";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";486
"2008";"StB 9 Cotta/westliche Ortschaften";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";1896
"2008";"StB 9 Cotta/westliche Ortschaften";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";2670
"2008";"StB 9 Cotta/westliche Ortschaften";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";80
"2008";"StB 9 Cotta/westliche Ortschaften";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";119
"2008";"StB 9 Cotta/westliche Ortschaften";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";485
"2008";"StB 9 Cotta/westliche Ortschaften";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";332
"2008";"StB 9 Cotta/westliche Ortschaften";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";562
"2008";"StB 9 Cotta/westliche Ortschaften";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";416
"2008";"unbekannt";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";20
"2008";"unbekannt";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";274
"2008";"unbekannt";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";3
"2008";"unbekannt";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";18
"2008";"unbekannt";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";21
"2008";"unbekannt";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";57
"2008";"unbekannt";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";4
"2008";"unbekannt";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";3
"2008";"unbekannt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";54
"2008";"unbekannt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";31
"2008";"unbekannt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";29
"2008";"unbekannt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";24
"2009";"StB 0 Altstadt";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";154
"2009";"StB 0 Altstadt";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";13847
"2009";"StB 0 Altstadt";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";89
"2009";"StB 0 Altstadt";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";175
"2009";"StB 0 Altstadt";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";898
"2009";"StB 0 Altstadt";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";2668
"2009";"StB 0 Altstadt";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";34
"2009";"StB 0 Altstadt";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";120
"2009";"StB 0 Altstadt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";390
"2009";"StB 0 Altstadt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";325
"2009";"StB 0 Altstadt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";735
"2009";"StB 0 Altstadt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";846
"2009";"StB 1 Neustadt";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";198
"2009";"StB 1 Neustadt";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";9491
"2009";"StB 1 Neustadt";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";192
"2009";"StB 1 Neustadt";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";281
"2009";"StB 1 Neustadt";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";1091
"2009";"StB 1 Neustadt";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";2647
"2009";"StB 1 Neustadt";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";44
"2009";"StB 1 Neustadt";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";84
"2009";"StB 1 Neustadt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";356
"2009";"StB 1 Neustadt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";176
"2009";"StB 1 Neustadt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";406
"2009";"StB 1 Neustadt";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";639
"2009";"StB 2 Pieschen";"PKW";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";204
"2009";"StB 2 Pieschen";"PKW";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";14601
"2009";"StB 2 Pieschen";"PKW";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";120
"2009";"StB 2 Pieschen";"PKW";"Diesel";"Schadstoffgruppe 2 - Rot";280
"2009";"StB 2 Pieschen";"PKW";"Diesel";"Schadstoffgruppe 3 - Gelb";1166
"2009";"StB 2 Pieschen";"PKW";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";2300
"2009";"StB 2 Pieschen";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 1 - ohne Plakette  ";51
"2009";"StB 2 Pieschen";"Nutzfahrzeug";"Benzin";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";101
"2009";"StB 2 Pieschen";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 1 - ohne Plakette  ";381
"2009";"StB 2 Pieschen";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 2 - Rot";257
"2009";"StB 2 Pieschen";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 3 - Gelb";595
"2009";"StB 2 Pieschen";"Nutzfahrzeug";"Diesel";"Schadstoffgruppe 4 - Grün: u.a. alle Benziner mit geregeltem Katalysator (G-Kat) oder Fahrzeuge mit Flüssiggas, Erdgas- oder Ethanolantrieb, s. Zusatzinformation";710
