"Jahr";"Quartal";"Monat";"Herkunftsland_24Auspr";"Herkunftsland_05Auspr";"Herkunftsland_D/A";"Tourismus_Ank¸nfte";"Tourismus_‹bernachtungen"
"2000";"1. Quartal";"02";"Niederlande";"Europa ohne Deutschland";"Ausland";279;495
"2000";"1. Quartal";"02";"÷sterreich";"Europa ohne Deutschland";"Ausland";494;1195
"2000";"1. Quartal";"02";"Polen";"Europa ohne Deutschland";"Ausland";183;397
"2000";"1. Quartal";"02";"Schweden";"Europa ohne Deutschland";"Ausland";64;90
"2000";"1. Quartal";"02";"Schweiz";"Europa ohne Deutschland";"Ausland";362;777
"2000";"1. Quartal";"02";"Russland";"Europa ohne Deutschland";"Ausland";86;450
"2000";"1. Quartal";"02";"Spanien";"Europa ohne Deutschland";"Ausland";103;197
"2000";"1. Quartal";"02";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";132;281
"2000";"1. Quartal";"02";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";508;1133
"2000";"1. Quartal";"02";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";355;968
"2000";"1. Quartal";"02";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";30;62
"2000";"1. Quartal";"02";"USA";"Amerika";"Ausland";718;1608
"2000";"1. Quartal";"02";"Kanada";"Amerika";"Ausland";45;126
"2000";"1. Quartal";"02";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";109;164
"2000";"1. Quartal";"02";"China";"Asien";"Ausland";23;45
"2000";"1. Quartal";"02";"Japan";"Asien";"Ausland";476;1307
"2000";"1. Quartal";"02";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";212;405
"2000";"1. Quartal";"02";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";67;116
"2000";"1. Quartal";"02";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";53;61
"2000";"1. Quartal";"03";"Deutschland";"Deutschland";"Deutschland";65856;129840
"2000";"1. Quartal";"03";"Belgien";"Europa ohne Deutschland";"Ausland";187;380
"2000";"1. Quartal";"03";"D‰nemark";"Europa ohne Deutschland";"Ausland";114;185
"2000";"1. Quartal";"03";"Frankreich";"Europa ohne Deutschland";"Ausland";308;663
"2000";"1. Quartal";"03";"Italien";"Europa ohne Deutschland";"Ausland";398;647
"2000";"1. Quartal";"03";"Niederlande";"Europa ohne Deutschland";"Ausland";375;908
"2000";"1. Quartal";"03";"÷sterreich";"Europa ohne Deutschland";"Ausland";363;786
"2000";"1. Quartal";"03";"Polen";"Europa ohne Deutschland";"Ausland";152;266
"2000";"1. Quartal";"03";"Schweden";"Europa ohne Deutschland";"Ausland";353;454
"2000";"1. Quartal";"03";"Schweiz";"Europa ohne Deutschland";"Ausland";481;977
"2000";"1. Quartal";"03";"Russland";"Europa ohne Deutschland";"Ausland";187;859
"2000";"1. Quartal";"03";"Spanien";"Europa ohne Deutschland";"Ausland";97;164
"2000";"1. Quartal";"03";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";110;149
"2000";"1. Quartal";"03";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";632;1500
"2000";"1. Quartal";"03";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";507;1191
"2000";"1. Quartal";"03";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";52;97
"2000";"1. Quartal";"03";"USA";"Amerika";"Ausland";1211;2871
"2000";"1. Quartal";"03";"Kanada";"Amerika";"Ausland";91;196
"2000";"1. Quartal";"03";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";147;291
"2000";"1. Quartal";"03";"China";"Asien";"Ausland";119;251
"2000";"1. Quartal";"03";"Japan";"Asien";"Ausland";1129;2207
"2000";"1. Quartal";"03";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";138;450
"2000";"1. Quartal";"03";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";88;116
"2000";"1. Quartal";"03";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";61;78
"2000";"2. Quartal";"04";"Deutschland";"Deutschland";"Deutschland";83445;183011
"2000";"2. Quartal";"04";"Belgien";"Europa ohne Deutschland";"Ausland";299;750
"2000";"2. Quartal";"04";"D‰nemark";"Europa ohne Deutschland";"Ausland";625;1009
"2000";"2. Quartal";"04";"Frankreich";"Europa ohne Deutschland";"Ausland";475;951
"2000";"2. Quartal";"04";"Italien";"Europa ohne Deutschland";"Ausland";771;1435
"2000";"2. Quartal";"04";"Niederlande";"Europa ohne Deutschland";"Ausland";483;1134
"2000";"2. Quartal";"04";"÷sterreich";"Europa ohne Deutschland";"Ausland";1017;2244
"2000";"2. Quartal";"04";"Polen";"Europa ohne Deutschland";"Ausland";240;439
"2000";"2. Quartal";"04";"Schweden";"Europa ohne Deutschland";"Ausland";617;837
"2000";"2. Quartal";"04";"Schweiz";"Europa ohne Deutschland";"Ausland";953;2010
"2000";"2. Quartal";"04";"Russland";"Europa ohne Deutschland";"Ausland";179;646
"2000";"2. Quartal";"04";"Spanien";"Europa ohne Deutschland";"Ausland";127;278
"2000";"2. Quartal";"04";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";164;352
"2000";"2. Quartal";"04";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";1009;1826
"2000";"2. Quartal";"04";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";875;2345
"2000";"2. Quartal";"04";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";36;57
"2000";"2. Quartal";"04";"USA";"Amerika";"Ausland";1370;3188
"2000";"2. Quartal";"04";"Kanada";"Amerika";"Ausland";122;289
"2000";"2. Quartal";"04";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";196;395
"2000";"2. Quartal";"04";"China";"Asien";"Ausland";34;43
"2000";"2. Quartal";"04";"Japan";"Asien";"Ausland";2134;3242
"2000";"2. Quartal";"04";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";282;528
"2000";"2. Quartal";"04";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";128;183
"2000";"2. Quartal";"04";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";95;241
"2000";"2. Quartal";"05";"Deutschland";"Deutschland";"Deutschland";105117;229851
"2000";"2. Quartal";"05";"Belgien";"Europa ohne Deutschland";"Ausland";496;914
"2000";"2. Quartal";"05";"D‰nemark";"Europa ohne Deutschland";"Ausland";560;684
"2000";"2. Quartal";"05";"Frankreich";"Europa ohne Deutschland";"Ausland";737;1441
"2000";"2. Quartal";"05";"Italien";"Europa ohne Deutschland";"Ausland";951;1741
"2000";"2. Quartal";"05";"Niederlande";"Europa ohne Deutschland";"Ausland";598;1326
"2000";"2. Quartal";"05";"÷sterreich";"Europa ohne Deutschland";"Ausland";1141;2730
"2000";"2. Quartal";"05";"Polen";"Europa ohne Deutschland";"Ausland";230;506
"2000";"2. Quartal";"05";"Schweden";"Europa ohne Deutschland";"Ausland";582;768
"2000";"2. Quartal";"05";"Schweiz";"Europa ohne Deutschland";"Ausland";2292;5373
"2000";"2. Quartal";"05";"Russland";"Europa ohne Deutschland";"Ausland";413;873
"2000";"2. Quartal";"05";"Spanien";"Europa ohne Deutschland";"Ausland";200;380
"2000";"2. Quartal";"05";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";152;347
"2000";"2. Quartal";"05";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";1416;2810
"2000";"2. Quartal";"05";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";696;1750
"2000";"2. Quartal";"05";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";201;345
"2000";"2. Quartal";"05";"USA";"Amerika";"Ausland";3228;6513
"2000";"2. Quartal";"05";"Kanada";"Amerika";"Ausland";248;545
"2000";"2. Quartal";"05";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";562;922
"2000";"2. Quartal";"05";"China";"Asien";"Ausland";104;154
"2000";"2. Quartal";"05";"Japan";"Asien";"Ausland";3030;4495
"2000";"2. Quartal";"05";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";599;1140
"2000";"2. Quartal";"05";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";282;543
"2000";"2. Quartal";"05";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";266;497
"2000";"2. Quartal";"06";"Deutschland";"Deutschland";"Deutschland";97738;214816
"2000";"2. Quartal";"06";"Belgien";"Europa ohne Deutschland";"Ausland";557;1142
"2000";"2. Quartal";"06";"D‰nemark";"Europa ohne Deutschland";"Ausland";670;1208
"2000";"2. Quartal";"06";"Frankreich";"Europa ohne Deutschland";"Ausland";822;1593
"2000";"2. Quartal";"06";"Italien";"Europa ohne Deutschland";"Ausland";662;1283
"2000";"2. Quartal";"06";"Niederlande";"Europa ohne Deutschland";"Ausland";960;2529
"2000";"2. Quartal";"06";"÷sterreich";"Europa ohne Deutschland";"Ausland";1402;3141
"2000";"2. Quartal";"06";"Polen";"Europa ohne Deutschland";"Ausland";247;528
"2000";"2. Quartal";"06";"Schweden";"Europa ohne Deutschland";"Ausland";574;856
"2000";"2. Quartal";"06";"Schweiz";"Europa ohne Deutschland";"Ausland";1627;3964
"2000";"2. Quartal";"06";"Russland";"Europa ohne Deutschland";"Ausland";425;673
"2000";"2. Quartal";"06";"Spanien";"Europa ohne Deutschland";"Ausland";301;553
"2000";"2. Quartal";"06";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";160;346
"2000";"2. Quartal";"06";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";1813;3526
"2000";"2. Quartal";"06";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";1117;2747
"2000";"2. Quartal";"06";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";124;279
"2000";"2. Quartal";"06";"USA";"Amerika";"Ausland";3853;8379
"2000";"2. Quartal";"06";"Kanada";"Amerika";"Ausland";223;500
"2000";"2. Quartal";"06";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";332;631
"2000";"2. Quartal";"06";"China";"Asien";"Ausland";75;109
"2000";"2. Quartal";"06";"Japan";"Asien";"Ausland";2877;4603
"2000";"2. Quartal";"06";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";506;877
"2000";"2. Quartal";"06";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";280;494
"2000";"2. Quartal";"06";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";247;424
"2000";"3. Quartal";"07";"Deutschland";"Deutschland";"Deutschland";84240;185752
"2000";"3. Quartal";"07";"Belgien";"Europa ohne Deutschland";"Ausland";656;1190
"2000";"3. Quartal";"07";"D‰nemark";"Europa ohne Deutschland";"Ausland";784;1410
"2000";"3. Quartal";"07";"Frankreich";"Europa ohne Deutschland";"Ausland";776;1439
"2000";"3. Quartal";"07";"Italien";"Europa ohne Deutschland";"Ausland";1284;1914
"2000";"3. Quartal";"07";"Niederlande";"Europa ohne Deutschland";"Ausland";877;2053
"2000";"3. Quartal";"07";"÷sterreich";"Europa ohne Deutschland";"Ausland";920;1859
"2000";"3. Quartal";"07";"Polen";"Europa ohne Deutschland";"Ausland";236;446
"2000";"3. Quartal";"07";"Schweden";"Europa ohne Deutschland";"Ausland";1104;1287
"2000";"3. Quartal";"07";"Schweiz";"Europa ohne Deutschland";"Ausland";2004;4304
"2000";"3. Quartal";"07";"Russland";"Europa ohne Deutschland";"Ausland";942;1823
"2000";"3. Quartal";"07";"Spanien";"Europa ohne Deutschland";"Ausland";637;999
"2000";"3. Quartal";"07";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";117;205
"2000";"3. Quartal";"07";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";1730;3149
"2000";"3. Quartal";"07";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";1292;2251
"2000";"3. Quartal";"07";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";116;279
"2000";"3. Quartal";"07";"USA";"Amerika";"Ausland";3541;7025
"2000";"3. Quartal";"07";"Kanada";"Amerika";"Ausland";811;1413
"2000";"3. Quartal";"07";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";546;925
"2000";"3. Quartal";"07";"China";"Asien";"Ausland";48;99
"2000";"3. Quartal";"07";"Japan";"Asien";"Ausland";2643;4553
"2000";"3. Quartal";"07";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";965;1692
"2000";"3. Quartal";"07";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";319;611
"2000";"3. Quartal";"07";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";119;210
"2000";"3. Quartal";"08";"Deutschland";"Deutschland";"Deutschland";83539;182613
"2000";"3. Quartal";"08";"Belgien";"Europa ohne Deutschland";"Ausland";741;1250
"2000";"3. Quartal";"08";"D‰nemark";"Europa ohne Deutschland";"Ausland";728;1137
"2000";"3. Quartal";"08";"Frankreich";"Europa ohne Deutschland";"Ausland";1069;1999
"2000";"3. Quartal";"08";"Italien";"Europa ohne Deutschland";"Ausland";3774;5580
"2000";"3. Quartal";"08";"Niederlande";"Europa ohne Deutschland";"Ausland";1061;2168
"2000";"3. Quartal";"08";"÷sterreich";"Europa ohne Deutschland";"Ausland";1105;2372
"2000";"3. Quartal";"08";"Polen";"Europa ohne Deutschland";"Ausland";234;370
"2000";"3. Quartal";"08";"Schweden";"Europa ohne Deutschland";"Ausland";927;1207
"2000";"3. Quartal";"08";"Schweiz";"Europa ohne Deutschland";"Ausland";1788;4421
"2000";"3. Quartal";"08";"Russland";"Europa ohne Deutschland";"Ausland";1057;1505
"2000";"3. Quartal";"08";"Spanien";"Europa ohne Deutschland";"Ausland";738;1209
"2000";"3. Quartal";"08";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";190;307
"2000";"3. Quartal";"08";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";1420;2926
"2000";"3. Quartal";"08";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";1175;2173
"2000";"3. Quartal";"08";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";119;364
"2000";"3. Quartal";"08";"USA";"Amerika";"Ausland";2863;6243
"2000";"3. Quartal";"08";"Kanada";"Amerika";"Ausland";199;335
"2000";"3. Quartal";"08";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";429;714
"2000";"3. Quartal";"08";"China";"Asien";"Ausland";67;103
"2000";"3. Quartal";"08";"Japan";"Asien";"Ausland";3416;5292
"2000";"3. Quartal";"08";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";969;1402
"2000";"3. Quartal";"08";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";266;541
"2000";"3. Quartal";"08";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";232;387
"2000";"3. Quartal";"09";"Deutschland";"Deutschland";"Deutschland";107257;227416
"2000";"3. Quartal";"09";"Belgien";"Europa ohne Deutschland";"Ausland";642;1328
"2000";"3. Quartal";"09";"D‰nemark";"Europa ohne Deutschland";"Ausland";862;1282
"2000";"3. Quartal";"09";"Frankreich";"Europa ohne Deutschland";"Ausland";851;1634
"2000";"3. Quartal";"09";"Italien";"Europa ohne Deutschland";"Ausland";787;1571
"2000";"3. Quartal";"09";"Niederlande";"Europa ohne Deutschland";"Ausland";833;1616
"2000";"3. Quartal";"09";"÷sterreich";"Europa ohne Deutschland";"Ausland";1387;3858
"2000";"3. Quartal";"09";"Polen";"Europa ohne Deutschland";"Ausland";295;521
"2000";"3. Quartal";"09";"Schweden";"Europa ohne Deutschland";"Ausland";722;1107
"2000";"3. Quartal";"09";"Schweiz";"Europa ohne Deutschland";"Ausland";1916;4640
"2000";"3. Quartal";"09";"Russland";"Europa ohne Deutschland";"Ausland";328;682
"2000";"3. Quartal";"09";"Spanien";"Europa ohne Deutschland";"Ausland";335;611
"2000";"3. Quartal";"09";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";269;560
"2000";"3. Quartal";"09";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";1827;3915
"2000";"3. Quartal";"09";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";1220;3084
"2000";"3. Quartal";"09";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";153;554
"2000";"3. Quartal";"09";"USA";"Amerika";"Ausland";3851;8268
"2000";"3. Quartal";"09";"Kanada";"Amerika";"Ausland";290;779
"2000";"3. Quartal";"09";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";594;1148
"2000";"3. Quartal";"09";"China";"Asien";"Ausland";148;471
"2000";"3. Quartal";"09";"Japan";"Asien";"Ausland";3171;5842
"2000";"3. Quartal";"09";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";882;1484
"2000";"3. Quartal";"09";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";338;741
"2000";"3. Quartal";"09";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";146;581
"2000";"4. Quartal";"10";"Deutschland";"Deutschland";"Deutschland";94861;210045
"2000";"4. Quartal";"10";"Belgien";"Europa ohne Deutschland";"Ausland";255;505
"2000";"4. Quartal";"10";"D‰nemark";"Europa ohne Deutschland";"Ausland";709;952
"2000";"4. Quartal";"10";"Frankreich";"Europa ohne Deutschland";"Ausland";813;1351
"2000";"4. Quartal";"10";"Italien";"Europa ohne Deutschland";"Ausland";424;726
"2000";"4. Quartal";"10";"Niederlande";"Europa ohne Deutschland";"Ausland";661;1373
"2000";"4. Quartal";"10";"÷sterreich";"Europa ohne Deutschland";"Ausland";780;1897
"2000";"4. Quartal";"10";"Polen";"Europa ohne Deutschland";"Ausland";206;412
"2000";"4. Quartal";"10";"Schweden";"Europa ohne Deutschland";"Ausland";578;783
"2000";"4. Quartal";"10";"Schweiz";"Europa ohne Deutschland";"Ausland";1326;3182
"2000";"4. Quartal";"10";"Russland";"Europa ohne Deutschland";"Ausland";295;829
"2000";"4. Quartal";"10";"Spanien";"Europa ohne Deutschland";"Ausland";154;343
"2000";"4. Quartal";"10";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";283;462
"2000";"4. Quartal";"10";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";1324;2695
"2000";"4. Quartal";"10";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";854;1518
"2000";"4. Quartal";"10";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";59;158
"2000";"4. Quartal";"10";"USA";"Amerika";"Ausland";2128;5217
"2000";"4. Quartal";"10";"Kanada";"Amerika";"Ausland";158;411
"2000";"4. Quartal";"10";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";239;484
"2000";"4. Quartal";"10";"China";"Asien";"Ausland";164;404
"2000";"4. Quartal";"10";"Japan";"Asien";"Ausland";3184;4753
"2000";"4. Quartal";"10";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";396;835
"2000";"4. Quartal";"10";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";196;364
"2000";"4. Quartal";"10";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";153;359
"2000";"4. Quartal";"11";"Deutschland";"Deutschland";"Deutschland";74328;142135
"2000";"4. Quartal";"11";"Belgien";"Europa ohne Deutschland";"Ausland";171;360
"2000";"4. Quartal";"11";"D‰nemark";"Europa ohne Deutschland";"Ausland";166;193
"2000";"4. Quartal";"11";"Frankreich";"Europa ohne Deutschland";"Ausland";268;605
"2000";"4. Quartal";"11";"Italien";"Europa ohne Deutschland";"Ausland";200;473
"2000";"4. Quartal";"11";"Niederlande";"Europa ohne Deutschland";"Ausland";464;875
"2000";"4. Quartal";"11";"÷sterreich";"Europa ohne Deutschland";"Ausland";566;1219
"2000";"4. Quartal";"11";"Polen";"Europa ohne Deutschland";"Ausland";249;579
"2000";"4. Quartal";"11";"Schweden";"Europa ohne Deutschland";"Ausland";200;325
"2000";"4. Quartal";"11";"Schweiz";"Europa ohne Deutschland";"Ausland";637;1576
"2000";"4. Quartal";"11";"Russland";"Europa ohne Deutschland";"Ausland";449;902
"2000";"4. Quartal";"11";"Spanien";"Europa ohne Deutschland";"Ausland";114;185
"2000";"4. Quartal";"11";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";156;284
"2000";"4. Quartal";"11";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";668;1687
"2000";"4. Quartal";"11";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";651;1380
"2000";"4. Quartal";"11";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";45;84
"2000";"4. Quartal";"11";"USA";"Amerika";"Ausland";1169;3213
"2000";"4. Quartal";"11";"Kanada";"Amerika";"Ausland";102;298
"2000";"4. Quartal";"11";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";90;275
"2000";"4. Quartal";"11";"China";"Asien";"Ausland";126;382
"2000";"4. Quartal";"11";"Japan";"Asien";"Ausland";1067;2272
"2000";"4. Quartal";"11";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";224;591
"2000";"4. Quartal";"11";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";109;216
"2000";"4. Quartal";"11";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";95;194
"2000";"4. Quartal";"12";"Deutschland";"Deutschland";"Deutschland";93532;190288
"2000";"4. Quartal";"12";"Belgien";"Europa ohne Deutschland";"Ausland";105;190
"2000";"4. Quartal";"12";"D‰nemark";"Europa ohne Deutschland";"Ausland";162;276
"2000";"4. Quartal";"12";"Frankreich";"Europa ohne Deutschland";"Ausland";291;673
"2000";"4. Quartal";"12";"Italien";"Europa ohne Deutschland";"Ausland";283;558
"2000";"4. Quartal";"12";"Niederlande";"Europa ohne Deutschland";"Ausland";389;820
"2000";"4. Quartal";"12";"÷sterreich";"Europa ohne Deutschland";"Ausland";617;1574
"2000";"4. Quartal";"12";"Polen";"Europa ohne Deutschland";"Ausland";246;644
"2000";"4. Quartal";"12";"Schweden";"Europa ohne Deutschland";"Ausland";51;126
"2000";"4. Quartal";"12";"Schweiz";"Europa ohne Deutschland";"Ausland";1562;4375
"2000";"4. Quartal";"12";"Russland";"Europa ohne Deutschland";"Ausland";196;459
"2000";"4. Quartal";"12";"Spanien";"Europa ohne Deutschland";"Ausland";87;135
"2000";"4. Quartal";"12";"Tschechische Republik";"Europa ohne Deutschland";"Ausland";146;220
"2000";"4. Quartal";"12";"Groﬂbritannien";"Europa ohne Deutschland";"Ausland";516;1511
"2000";"4. Quartal";"12";"sonst.europ‰ische L‰nder (o.13 L‰nder)";"Europa ohne Deutschland";"Ausland";551;1189
"2000";"4. Quartal";"12";"afrikanische L‰nder";"Sonst. Ausland";"Ausland";36;104
"2000";"4. Quartal";"12";"USA";"Amerika";"Ausland";1147;2681
"2000";"4. Quartal";"12";"Kanada";"Amerika";"Ausland";31;87
"2000";"4. Quartal";"12";"amerik. L‰nder (o.USA, Kanada)";"Amerika";"Ausland";105;250
"2000";"4. Quartal";"12";"China";"Asien";"Ausland";49;88
"2000";"4. Quartal";"12";"Japan";"Asien";"Ausland";975;1871
"2000";"4. Quartal";"12";"asiatische L‰nder (o.China, Japan)";"Asien";"Ausland";203;420
"2000";"4. Quartal";"12";"Australien, Neuseeland u. Ozeanien    ";"Sonst. Ausland";"Ausland";85;137
"2000";"4. Quartal";"12";"Ausl‰nder ohne Angabe";"Sonst. Ausland";"Ausland";59;108
"2001";"1. Quartal";"01";"Deutschland";"Deutschland";"Deutschland";43097;87533
"2001";"1. Quartal";"01";"Belgien";"Europa ohne Deutschland";"Ausland";157;242
"2001";"1. Quartal";"01";"D‰nemark";"Europa ohne Deutschland";"Ausland";54;132
"2001";"1. Quartal";"01";"Frankreich";"Europa ohne Deutschland";"Ausland";211;504
"2001";"1. Quartal";"01";"Italien";"Europa ohne Deutschland";"Ausland";313;553
"2001";"1. Quartal";"01";"Niederlande";"Europa ohne Deutschland";"Ausland";381;749
"2001";"1. Quartal";"01";"÷sterreich";"Europa ohne Deutschland";"Ausland";320;965
"2001";"1. Quartal";"01";"Polen";"Europa ohne Deutschland";"Ausland";86;464
"2001";"1. Quartal";"01";"Schweden";"Europa ohne Deutschland";"Ausland";148;223
"2001";"1. Quartal";"01";"Schweiz";"Europa ohne Deutschland";"Ausland";766;2849
"2001";"1. Quartal";"01";"Russland";"Europa ohne Deutschland";"Ausland";620;1149
